epoch,accuracy,loss,val_accuracy,val_loss
0,0.3772488236427307,1.3244119882583618,0.5043227672576904,1.2584971189498901
1,0.6570717096328735,0.9762856960296631,0.6743515729904175,0.9161348938941956
2,0.8037641644477844,0.569524884223938,0.680115282535553,0.7763628959655762
3,0.8510932922363281,0.4119197726249695,0.6858789920806885,0.7896539568901062
4,0.8845834732055664,0.32588276267051697,0.7031700015068054,0.8172009587287903
5,0.9056186079978943,0.27075520157814026,0.6916426420211792,0.868649423122406
6,0.921394944190979,0.2278427928686142,0.6858789920806885,0.9088730216026306
7,0.9391087889671326,0.18918798863887787,0.6916426420211792,0.9425960779190063
8,0.950179934501648,0.16535930335521698,0.6858789920806885,1.0099889039993286
9,0.9559922218322754,0.14845192432403564,0.6945244669914246,1.0660492181777954
10,0.9595903754234314,0.12915591895580292,0.6945244669914246,1.120884656906128
11,0.9631884694099426,0.11919092386960983,0.7060518860816956,1.1270272731781006
12,0.9656794667243958,0.10759647190570831,0.6858789920806885,1.1887714862823486
13,0.9698311686515808,0.1027694121003151,0.6829971075057983,1.2195004224777222
14,0.971491813659668,0.08922984451055527,0.680115282535553,1.2661911249160767
15,0.972045361995697,0.08810748159885406,0.6829971075057983,1.3147574663162231
16,0.9731525182723999,0.0818207636475563,0.6657060384750366,1.3695099353790283
17,0.975089967250824,0.07969354093074799,0.6887608170509338,1.382379412651062
18,0.9725989699363708,0.08170568197965622,0.6858789920806885,1.426823377609253
19,0.974259614944458,0.07581344246864319,0.6829971075057983,1.4522593021392822
20,0.975643515586853,0.07047446072101593,0.6657060384750366,1.5174463987350464
21,0.9761970639228821,0.06920868903398514,0.6829971075057983,1.4938373565673828
22,0.977027416229248,0.06580957025289536,0.6743515729904175,1.5113129615783691
23,0.9778577089309692,0.06969159096479416,0.6829971075057983,1.511025071144104
24,0.9784113168716431,0.06442554295063019,0.6714697480201721,1.5809308290481567
